ingredient_name,quantity,expiry_date,category,daily_consumption,supplier,wastage_history,storage_type,days_to_expiry,stock_duration_days,waste_risk_ratio,is_waste_risk
Fish Fillet,29.06,2026-06-06,Produce,9.55,AgroFresh,0.68,Frozen,6.0,3.0429319371727743,0.507155322862129,0
Prawns,5.16,2026-06-01,Meat,6.51,Metro Wholesale,0.18,Frozen,1.0,0.7926267281105991,0.7926267281105991,1
Sugar,14.15,2027-01-06,Dry Pantry,7.46,Local Mandi,0.91,Ambient,220.0,1.8967828418230563,0.008621740190104801,0
Mushroom,15.97,2026-06-02,Produce,5.97,Metro Wholesale,1.25,Refrigerated,2.0,2.6750418760469015,1.3375209380234507,1
Spices,13.92,,Dry Pantry,5.24,Prime Meats,3.45,Ambient,220.0,2.6564885496183206,0.012074947952810548,0
Cheese,29.15,2026-06-03,Dairy,4.69,Metro Wholesale,1.03,Refrigerated,3.0,6.215351812366737,2.071783937455579,1
Prawns,35.42,2026-05-30,Meat,4.56,Metro Wholesale,3.96,Frozen,-1.0,7.767543859649124,-7.767543859649124,1
Mutton,38.31,2026-06-05,Meat,6.92,Metro Wholesale,2.89,Frozen,5.0,5.536127167630058,1.1072254335260117,1
Milk,27.08,2026-05-29,Dairy,4.41,DairyCo,3.61,Refrigerated,-2.0,6.140589569160997,-3.0702947845804984,1
Paneer,11.1,2026-05-29,Dairy,1.46,Prime Meats,2.99,Refrigerated,-2.0,7.602739726027397,-3.8013698630136985,1
Spices,33.23,2027-03-06,Dry Pantry,7.57,Local Mandi,3.09,Ambient,279.0,4.389696169088507,0.015733678025406834,0
Pasta,21.49,2026-10-20,Dry Pantry,7.72,Local Mandi,3.02,Ambient,142.0,2.7836787564766836,0.019603371524483687,0
Potatoes,12.69,2026-05-30,Produce,1.92,Metro Wholesale,3.99,Refrigerated,-1.0,6.609375,-6.609375,1
Spices,21.19,2027-02-02,Dry Pantry,1.38,Metro Wholesale,2.38,Ambient,247.0,15.355072463768119,0.06216628527841344,0
Cream,11.93,2026-06-07,Dairy,2.69,Metro Wholesale,1.2,Refrigerated,7.0,4.434944237918216,0.633563462559745,0
Paneer,38.39,2026-05-31,Dairy,6.69,Local Mandi,2.84,Refrigerated,0.0,5.738415545590433,57.38415545590433,1
Carrots,27.3,2026-06-13,Produce,2.06,AgroFresh,3.4,Refrigerated,13.0,13.25242718446602,1.0194174757281553,1
Chicken Breast,14.3,2026-06-01,Meat,1.32,Local Mandi,2.26,Frozen,1.0,10.833333333333334,10.833333333333334,1
Prawns,5.77,2026-06-03,Meat,5.135,Prime Meats,1.76,Frozen,3.0,1.1236611489776047,0.37455371632586826,0
Onions,46.63,2026-06-12,Produce,8.65,Metro Wholesale,1.61,Refrigerated,12.0,5.390751445086705,0.44922928709055876,0
Mutton,45.18,2026-05-30,Meat,5.6,Metro Wholesale,4.6,Frozen,-1.0,8.067857142857143,-8.067857142857143,1
Cheese,46.28,2026-06-09,Dairy,6.73,Prime Meats,1.07,Refrigerated,9.0,6.87667161961367,0.7640746244015189,0
Rice,49.63,2026-09-02,Dry Pantry,8.74,Metro Wholesale,1.25,Ambient,94.0,5.678489702517163,0.060409464920395346,0
Prawns,30.83,2026-06-06,Produce,3.51,DairyCo,4.98,Frozen,6.0,8.783475783475783,1.463912630579297,1
Sugar,36.6,2026-10-10,Dry Pantry,1.07,Local Mandi,2.31,Ambient,132.0,34.205607476635514,0.25913338997451146,0
Chicken Breast,32.59,2026-05-30,Meat,9.79,DairyCo,2.97,Frozen,-1.0,3.328907048008172,-3.328907048008172,1
Mushroom,7.79,2026-06-05,Produce,5.64,Metro Wholesale,1.54,Refrigerated,5.0,1.3812056737588654,0.2762411347517731,0
Cream,9.5,2026-06-09,Dairy,5.78,Prime Meats,3.81,Refrigerated,9.0,1.6435986159169549,0.18262206843521722,0
Bell Peppers,30.11,2026-06-09,Produce,4.4,Prime Meats,2.39,Refrigerated,9.0,6.843181818181818,0.7603535353535353,0
Fish Fillet,31.12,2026-05-31,Meat,2.58,Prime Meats,0.77,Frozen,0.0,12.062015503875969,120.62015503875969,1
Fish Fillet,47.4,2026-06-02,Meat,8.13,DairyCo,4.07,Frozen,2.0,5.830258302583025,2.9151291512915125,1
Onions,45.16,2026-06-14,Produce,7.08,Local Mandi,0.23,Refrigerated,14.0,6.378531073446327,0.45560936238902333,0
Onions,33.86,2026-06-03,Produce,0.78,Local Mandi,4.74,Refrigerated,3.0,43.41025641025641,14.47008547008547,1
Cream,42.56,2026-06-04,Dairy,8.1,Prime Meats,0.23,Refrigerated,4.0,5.254320987654322,1.3135802469135804,1
Cream,12.06,2026-05-30,Dairy,7.05,Metro Wholesale,0.98,Refrigerated,-1.0,1.7106382978723405,-1.7106382978723405,1
Carrots,20.24,2026-06-02,Produce,6.63,Metro Wholesale,2.7,Refrigerated,2.0,3.052790346907994,1.526395173453997,1
Cream,11.68,2026-06-04,Dairy,1.19,Local Mandi,3.5,Refrigerated,4.0,9.815126050420169,2.453781512605042,1
Pasta,33.26,2026-09-06,Dry Pantry,9.58,Prime Meats,0.02,Ambient,98.0,3.471816283924843,0.0354266967747433,0
Cream,42.37,2026-06-03,Dairy,1.4,Local Mandi,0.34,Refrigerated,3.0,30.264285714285716,10.088095238095239,1
Sugar,16.98,2027-02-19,Dry Pantry,3.12,AgroFresh,3.93,Ambient,264.0,5.4423076923076925,0.020614801864801864,0
Butter,19.29,2026-06-06,Dairy,9.87,Local Mandi,3.77,Refrigerated,6.0,1.9544072948328268,0.32573454913880445,0
Salt,23.58,2026-07-14,Dry Pantry,6.07,Prime Meats,0.58,Ambient,44.0,3.8846787479406917,0.08828815336228844,0
Milk,27.34,2026-05-31,Dairy,5.31,Local Mandi,4.4,Refrigerated,0.0,5.148775894538606,51.48775894538606,1
Pasta,2.6,2027-04-12,Dry Pantry,1.99,Local Mandi,4.61,Ambient,316.0,1.306532663316583,0.004134597035811972,0
Milk,9.13,2026-06-09,Dairy,3.42,DairyCo,4.61,Refrigerated,9.0,2.669590643274854,0.29662118258609493,0
Lentils,31.84,2027-03-28,Dry Pantry,2.83,Prime Meats,3.94,Ambient,301.0,11.250883392226148,0.037378350140286204,0
Mushroom,27.2,,Produce,7.96,DairyCo,1.5,Refrigerated,7.0,3.4170854271356785,0.48815506101938266,0
Onions,34.58,2026-06-01,Produce,1.98,AgroFresh,3.7,Refrigerated,1.0,17.464646464646464,17.464646464646464,1
Lentils,3.96,2027-05-11,Dry Pantry,6.56,Prime Meats,3.3,Ambient,345.0,0.6036585365853658,0.0017497348886532343,0
Lentils,34.77,2026-10-15,Dry Pantry,0.61,Prime Meats,2.91,Ambient,137.0,57.00000000000001,0.416058394160584,0
Beef,32.01,2026-05-31,Meat,2.08,Metro Wholesale,4.07,Frozen,0.0,15.389423076923075,153.89423076923075,1
Beef,27.58,2026-05-30,Meat,8.05,DairyCo,4.4,Frozen,-1.0,3.4260869565217384,-3.4260869565217384,1
Chicken Breast,42.22,2026-06-02,Meat,7.72,Metro Wholesale,0.88,Frozen,2.0,5.4689119170984455,2.7344559585492227,1
Beef,15.5,2026-05-29,Meat,7.14,Prime Meats,1.37,Frozen,-2.0,2.170868347338936,-1.085434173669468,1
Rice,43.63,2027-03-09,Dry Pantry,5.91,Metro Wholesale,2.76,Ambient,282.0,7.382402707275804,0.026178733004524127,0
Carrots,46.41,2026-06-08,Produce,8.75,AgroFresh,1.72,Refrigerated,8.0,5.303999999999999,0.6629999999999999,0
Spinach,34.49,2026-05-31,Produce,1.89,Local Mandi,1.02,Refrigerated,0.0,18.24867724867725,182.48677248677248,1
Prawns,26.45,2026-06-06,Meat,1.91,Metro Wholesale,1.64,Frozen,6.0,13.848167539267015,2.3080279232111693,1
Chicken Breast,36.76,2026-06-04,Dairy,5.59,AgroFresh,2.76,Frozen,4.0,6.5760286225402504,1.6440071556350626,1
Chicken Breast,23.47,2026-06-06,Meat,8.63,AgroFresh,3.04,Frozen,6.0,2.7195828505214363,0.4532638084202394,0
Flour,24.23,2026-09-23,Dry Pantry,0.71,Metro Wholesale,3.69,Ambient,115.0,34.12676056338029,0.2967544396815677,0
Cream,48.39,2026-06-01,Dairy,8.28,DairyCo,3.42,Refrigerated,1.0,5.8442028985507255,5.8442028985507255,1
Mushroom,23.89,2026-06-14,Produce,1.6,AgroFresh,2.21,Refrigerated,14.0,14.93125,1.066517857142857,1
Chicken Breast,20.46,2026-06-04,Meat,7.55,AgroFresh,2.3,Frozen,4.0,2.7099337748344374,0.6774834437086094,0
Spinach,9.0,2026-06-12,Produce,3.09,Local Mandi,0.24,Refrigerated,12.0,2.912621359223301,0.24271844660194175,0
Flour,48.43,2027-03-27,Dry Pantry,5.38,AgroFresh,3.47,Ambient,300.0,9.00185873605948,0.030006195786864934,0
Rice,48.34,2027-05-12,Dry Pantry,2.13,Prime Meats,4.16,Ambient,346.0,22.694835680751176,0.06559201063800918,0
Sugar,23.19,2027-03-08,Dry Pantry,7.15,Metro Wholesale,1.6,Ambient,281.0,3.2433566433566434,0.011542194460343927,0
Pasta,5.63,2027-04-17,Dry Pantry,6.78,Local Mandi,1.78,Ambient,321.0,0.8303834808259587,0.0025868644262490924,0
Sugar,22.42,2027-05-26,Dairy,2.87,Prime Meats,4.14,Ambient,360.0,7.811846689895471,0.021699574138598528,0
Rice,6.12,2027-04-01,Dry Pantry,1.0,Metro Wholesale,0.79,Ambient,305.0,6.12,0.020065573770491802,0
Rice,30.31,2027-05-01,Dry Pantry,7.01,Prime Meats,1.64,Ambient,335.0,4.323823109843081,0.012906934656248004,0
Potatoes,9.86,2026-05-31,Produce,5.51,Local Mandi,4.92,Refrigerated,0.0,1.7894736842105263,17.894736842105264,1
Onions,28.75,2026-06-03,Produce,5.88,Prime Meats,4.7,Refrigerated,3.0,4.889455782312925,1.6298185941043084,1
Yogurt,7.75,,Dairy,3.99,Local Mandi,1.25,Refrigerated,4.0,1.9423558897243107,0.4855889724310777,0
Onions,41.01,2026-06-08,Produce,4.87,Metro Wholesale,1.11,Refrigerated,8.0,8.42094455852156,1.052618069815195,1
Rice,21.31,2027-04-27,Dry Pantry,1.91,DairyCo,3.79,Ambient,331.0,11.157068062827225,0.0337071542683602,0
Prawns,12.07,2026-06-04,Meat,4.37,Metro Wholesale,4.28,Frozen,4.0,2.7620137299771166,0.6905034324942791,0
Mutton,47.41,2026-06-06,Meat,1.61,Prime Meats,3.87,Frozen,6.0,29.447204968944096,4.907867494824016,1
Chicken Breast,16.51,2026-06-01,Meat,4.53,Local Mandi,4.4,Frozen,1.0,3.644591611479029,3.644591611479029,1
Rice,2.01,2027-01-14,Dry Pantry,2.48,Prime Meats,1.42,Ambient,228.0,0.8104838709677419,0.0035547538200339556,0
Chicken Breast,18.95,2026-05-30,Meat,6.26,AgroFresh,4.65,Frozen,-1.0,3.027156549520767,-3.027156549520767,1
Butter,41.7,2026-06-05,Dairy,6.77,Local Mandi,2.97,Refrigerated,5.0,6.159527326440178,1.2319054652880355,1
Cheese,42.76,2026-06-04,Dairy,8.66,Local Mandi,3.13,Refrigerated,4.0,4.937644341801385,1.2344110854503463,1
Salt,44.93,,Dry Pantry,1.83,DairyCo,0.43,Ambient,220.0,24.551912568306008,0.11159960258320913,0
Lentils,46.83,2026-09-26,Dry Pantry,9.92,Metro Wholesale,1.18,Ambient,118.0,4.720766129032258,0.04000649261891744,0
Spices,33.51,2027-03-17,Dry Pantry,1.12,Prime Meats,3.76,Ambient,290.0,29.919642857142854,0.10317118226600984,0
Cream,25.37,2026-06-04,Dairy,3.31,Prime Meats,1.94,Refrigerated,4.0,7.664652567975831,1.9161631419939578,1
Bell Peppers,30.16,2026-06-01,Produce,6.275,AgroFresh,1.94,Refrigerated,1.0,4.806374501992032,4.806374501992032,1
Potatoes,26.84,2026-06-01,Produce,6.65,Local Mandi,2.34,Refrigerated,1.0,4.0360902255639095,4.0360902255639095,1
Milk,43.08,2026-05-29,Dairy,0.62,Prime Meats,1.82,Refrigerated,-2.0,69.48387096774194,-34.74193548387097,1
Chicken Breast,28.18,2026-06-05,Meat,1.85,Metro Wholesale,3.16,Frozen,5.0,15.232432432432432,3.0464864864864865,1
Onions,6.04,2026-06-04,Produce,2.93,DairyCo,0.76,Refrigerated,4.0,2.061433447098976,0.515358361774744,0
Prawns,40.38,2026-06-07,Meat,5.74,AgroFresh,0.33,Frozen,7.0,7.034843205574913,1.0049776007964162,1
Mushroom,29.45,2026-06-10,Produce,9.54,Metro Wholesale,3.36,Refrigerated,10.0,3.0870020964360587,0.3087002096436059,0
Flour,46.52,2026-10-10,Dry Pantry,7.68,Local Mandi,1.99,Ambient,132.0,6.057291666666667,0.04588857323232323,0
Spinach,7.23,2026-05-31,Produce,7.08,Local Mandi,0.68,Refrigerated,0.0,1.021186440677966,10.21186440677966,1
Bell Peppers,20.65,2026-06-11,Dairy,1.06,AgroFresh,4.93,Refrigerated,11.0,19.481132075471695,1.7710120068610633,1
Pasta,28.63,2026-12-04,Dry Pantry,5.81,AgroFresh,1.98,Ambient,187.0,4.927710843373494,0.026351394884350236,0
Butter,26.68,2026-05-30,Dairy,9.96,Local Mandi,3.09,Refrigerated,-1.0,2.6787148594377506,-2.6787148594377506,1
Beef,24.67,2026-05-31,Meat,7.43,AgroFresh,1.88,Frozen,0.0,3.3203230148048455,33.203230148048455,1
Butter,34.09,2026-06-07,Dairy,5.05,Metro Wholesale,3.24,Refrigerated,7.0,6.750495049504951,0.9643564356435644,0
Sugar,28.02,2026-11-09,Dry Pantry,3.77,AgroFresh,1.43,Ambient,162.0,7.43236074270557,0.04587877001670105,0
Beef,16.38,2026-06-02,Meat,8.56,DairyCo,1.55,Frozen,2.0,1.9135514018691586,0.9567757009345793,0
Sugar,3.0,2027-05-27,Dry Pantry,3.98,DairyCo,3.52,Ambient,361.0,0.7537688442211056,0.002088002338562619,0
Onions,37.58,2026-06-12,Produce,7.77,Prime Meats,1.59,Refrigerated,12.0,4.8365508365508365,0.40304590304590304,0
Mutton,15.6,2026-06-03,Meat,8.93,AgroFresh,2.77,Frozen,3.0,1.7469204927211646,0.5823068309070548,0
Butter,8.66,2026-06-09,Dairy,2.59,Prime Meats,3.98,Refrigerated,9.0,3.343629343629344,0.37151437151437156,0
Milk,41.16,2026-06-06,Dairy,7.75,Metro Wholesale,3.58,Refrigerated,6.0,5.3109677419354835,0.8851612903225806,0
Lentils,23.09,2027-04-28,Dry Pantry,2.2,Metro Wholesale,4.41,Ambient,332.0,10.495454545454544,0.03161281489594742,0
Mushroom,25.49,2026-06-08,Produce,9.53,Local Mandi,2.09,Refrigerated,8.0,2.6747114375655823,0.3343389296956978,0
Sugar,24.32,,Dry Pantry,6.55,AgroFresh,2.5,Ambient,220.0,3.7129770992366415,0.016877168632893826,0
Tomatoes,8.53,2026-05-31,Produce,3.56,DairyCo,4.22,Refrigerated,0.0,2.3960674157303368,23.960674157303366,1
Bell Peppers,34.34,2026-06-11,Produce,6.17,Prime Meats,2.98,Refrigerated,11.0,5.565640194489466,0.5059672904081333,0
Sugar,37.63,2027-05-04,Dry Pantry,5.69,Metro Wholesale,2.44,Ambient,338.0,6.61335676625659,0.01956614427886565,0
Carrots,6.04,2026-06-02,Produce,8.27,Local Mandi,2.78,Refrigerated,2.0,0.7303506650544136,0.3651753325272068,0
Spices,14.83,,Dry Pantry,8.53,AgroFresh,2.77,Ambient,220.0,1.7385697538100822,0.007902589790045827,0
Onions,12.5,2026-06-01,Produce,3.46,AgroFresh,4.34,Refrigerated,1.0,3.6127167630057806,3.6127167630057806,1
Prawns,39.84,2026-05-29,Meat,8.93,DairyCo,4.41,Frozen,-2.0,4.461366181410975,-2.2306830907054875,1
Potatoes,33.16,2026-06-04,Produce,9.05,AgroFresh,3.48,Refrigerated,4.0,3.6640883977900547,0.9160220994475137,0
Chicken Breast,25.61,2026-06-04,Meat,7.13,Metro Wholesale,0.54,Frozen,4.0,3.591865357643759,0.8979663394109397,0
Flour,7.48,2027-04-18,Dry Pantry,1.28,AgroFresh,2.74,Ambient,322.0,5.84375,0.01814829192546584,0
Rice,5.47,2027-02-06,Dry Pantry,1.31,AgroFresh,3.72,Ambient,251.0,4.175572519083969,0.016635747087983942,0
Mutton,5.41,2026-06-02,Meat,6.33,Metro Wholesale,1.17,Frozen,2.0,0.8546603475513428,0.4273301737756714,0
Lentils,49.44,2027-01-19,Dry Pantry,5.99,Metro Wholesale,4.27,Ambient,233.0,8.253756260434056,0.03542384661130496,0
Salt,7.19,2026-09-25,Dry Pantry,5.5,AgroFresh,0.18,Ambient,117.0,1.3072727272727274,0.011173271173271174,0
Mushroom,38.51,2026-06-12,Produce,0.81,DairyCo,3.83,Refrigerated,12.0,47.5432098765432,3.9619341563786,1
Spinach,24.26,2026-06-09,Produce,8.74,AgroFresh,4.67,Refrigerated,9.0,2.7757437070938216,0.30841596745486904,0
Cheese,46.61,2026-06-08,Dairy,8.47,Local Mandi,3.96,Refrigerated,8.0,5.5029515938606846,0.6878689492325856,0
Onions,13.56,2026-06-11,Produce,3.35,DairyCo,4.59,Refrigerated,11.0,4.04776119402985,0.36797829036635005,0
Prawns,44.16,2026-05-29,Meat,5.1,DairyCo,4.0,Frozen,-2.0,8.658823529411764,-4.329411764705882,1
Lentils,32.33,2026-07-29,Dry Pantry,8.02,AgroFresh,3.36,Ambient,59.0,4.031172069825437,0.06832495033602436,0
Pasta,13.87,2027-02-07,Dry Pantry,5.54,AgroFresh,1.44,Ambient,252.0,2.503610108303249,0.009934960747235115,0
Mushroom,11.24,2026-06-01,Dairy,1.05,Prime Meats,3.62,Refrigerated,1.0,10.704761904761904,10.704761904761904,1
Spices,28.95,2027-02-17,Dry Pantry,6.04,Prime Meats,3.86,Ambient,262.0,4.793046357615894,0.018294070067236236,0
Rice,46.96,2027-05-28,Dry Pantry,6.59,AgroFresh,4.27,Ambient,362.0,7.125948406676783,0.019684940349935866,0
Fish Fillet,8.94,2026-05-29,Meat,1.2,Prime Meats,1.94,Frozen,-2.0,7.45,-3.725,1
Mutton,48.47,2026-06-06,Meat,6.0,AgroFresh,3.74,Frozen,6.0,8.078333333333333,1.3463888888888889,1
Tomatoes,15.06,2026-06-03,Produce,8.38,Prime Meats,2.24,Refrigerated,3.0,1.7971360381861574,0.5990453460620525,0
Prawns,30.07,2026-06-06,Meat,7.12,Prime Meats,2.29,Frozen,6.0,4.223314606741573,0.7038857677902621,0
Rice,13.96,2027-01-04,Dry Pantry,1.67,Local Mandi,2.92,Ambient,218.0,8.35928143712575,0.03834532769323738,0
Milk,4.69,2026-05-31,Dairy,4.98,DairyCo,0.18,Refrigerated,0.0,0.9417670682730924,9.417670682730924,1
Chicken Breast,28.28,2026-05-31,Meat,6.12,Prime Meats,2.78,Frozen,0.0,4.620915032679739,46.209150326797385,1
Butter,19.3,2026-05-30,Dairy,9.33,Local Mandi,0.77,Refrigerated,-1.0,2.0685959271168275,-2.0685959271168275,1
Tomatoes,19.2,2026-06-08,Produce,9.91,Local Mandi,2.43,Refrigerated,8.0,1.9374369323915237,0.24217961654894046,0
Bell Peppers,17.49,2026-06-02,Produce,1.38,Local Mandi,4.24,Refrigerated,2.0,12.67391304347826,6.33695652173913,1
Prawns,35.4,2026-06-06,Meat,9.17,Metro Wholesale,3.81,Frozen,6.0,3.86041439476554,0.64340239912759,0
Salt,19.34,2027-05-21,Dry Pantry,6.2,Metro Wholesale,4.61,Ambient,355.0,3.1193548387096772,0.008786915038618809,0
Mutton,13.23,2026-06-02,Meat,1.14,AgroFresh,3.6,Frozen,2.0,11.605263157894738,5.802631578947369,1
Cheese,40.89,2026-06-08,Dairy,1.47,DairyCo,4.32,Refrigerated,8.0,27.816326530612244,3.4770408163265305,1
Cheese,47.14,,Dairy,6.88,DairyCo,1.59,Refrigerated,4.0,6.851744186046512,1.712936046511628,1
Onions,49.08,2026-06-02,Produce,2.77,Prime Meats,3.69,Refrigerated,2.0,17.71841155234657,8.859205776173285,1
Potatoes,30.02,2026-06-05,Produce,4.19,Metro Wholesale,1.39,Refrigerated,5.0,7.164677804295942,1.4329355608591885,1
Spinach,28.35,2026-06-08,Produce,2.64,Local Mandi,3.52,Refrigerated,8.0,10.738636363636363,1.3423295454545454,1
Fish Fillet,37.58,2026-06-04,Meat,4.13,Metro Wholesale,3.0,Frozen,4.0,9.099273607748184,2.274818401937046,1
Cheese,39.64,2026-06-03,Dairy,0.82,Metro Wholesale,0.45,Refrigerated,3.0,48.34146341463415,16.11382113821138,1
Carrots,30.13,2026-06-12,Produce,6.38,DairyCo,2.83,Refrigerated,12.0,4.72257053291536,0.3935475444096133,0
Lentils,20.72,2026-09-03,Dry Pantry,3.31,Metro Wholesale,2.1,Ambient,95.0,6.259818731117824,0.06589282874860868,0
Potatoes,11.36,2026-06-14,Produce,8.33,DairyCo,4.34,Refrigerated,14.0,1.3637454981992796,0.09741039272851996,0
Lentils,8.63,2027-03-24,Dry Pantry,0.6,Metro Wholesale,1.72,Ambient,297.0,14.383333333333335,0.0484287317620651,0
Mutton,13.38,2026-06-04,Meat,1.96,Prime Meats,0.37,Frozen,4.0,6.826530612244898,1.7066326530612246,1
Milk,37.05,2026-06-04,Dairy,5.24,DairyCo,0.59,Refrigerated,4.0,7.0706106870229,1.767652671755725,1
Carrots,16.81,2026-06-08,Produce,3.5,Local Mandi,3.43,Refrigerated,8.0,4.8028571428571425,0.6003571428571428,0
Pasta,37.48,2026-12-27,Dry Pantry,0.67,Local Mandi,3.13,Ambient,210.0,55.94029850746268,0.26638237384506036,0
Paneer,10.45,2026-05-29,Dairy,8.41,Metro Wholesale,0.17,Refrigerated,-2.0,1.2425683709869202,-0.6212841854934601,1
Cream,16.88,2026-06-06,Dairy,7.19,Local Mandi,4.17,Refrigerated,6.0,2.347705146036161,0.3912841910060268,0
Milk,16.24,2026-06-07,Dairy,0.92,AgroFresh,1.67,Refrigerated,7.0,17.652173913043477,2.5217391304347823,1
Mushroom,48.14,2026-05-31,Produce,9.3,AgroFresh,1.49,Refrigerated,0.0,5.176344086021505,51.76344086021505,1
Onions,1.57,2026-06-03,Produce,6.66,Prime Meats,3.29,Refrigerated,3.0,0.23573573573573575,0.07857857857857858,0
Chicken Breast,2.07,2026-05-31,Meat,6.07,AgroFresh,4.23,Frozen,0.0,0.3410214168039538,3.410214168039538,1
Bell Peppers,37.51,2026-06-10,Dairy,2.64,Local Mandi,2.52,Refrigerated,10.0,14.208333333333332,1.4208333333333332,1
Spices,25.79,2026-08-19,Dry Pantry,7.46,Metro Wholesale,3.24,Ambient,80.0,3.4571045576407506,0.04321380697050938,0
Chicken Breast,43.2,2026-06-01,Produce,8.72,Prime Meats,3.51,Frozen,1.0,4.954128440366972,4.954128440366972,1
